optimizer_step,_step,_step__MIN,_step__MAX,global_loss,global_loss__MIN,global_loss__MAX,,,,,,
128,255.5,255,256,5.35797643661499,5.28586769104004,5.43008518218994,,,,,,
129,257.5,257,258,5.3626401424408,5.35996818542481,5.36531209945679,,,,,,
130,259.5,259,260,5.3059995174408,5.29324722290039,5.3187518119812,,,,,,
131,261.5,261,262,5.33496451377869,5.31620454788208,5.35372447967529,,,,,,
132,263.5,263,264,5.36539149284363,5.36115980148315,5.3696231842041,,,,,,
133,265.5,265,266,5.35543036460877,5.35498714447022,5.35587358474731,,,,,,
134,267.5,267,268,5.37523603439331,5.36499500274658,5.38547706604004,,,,,,
135,269.5,269,270,5.35238289833069,5.29815864562988,5.40660715103149,,,,,,
136,271.5,271,272,5.33511590957642,5.327956199646,5.34227561950684,,,,,,
137,273.5,273,274,5.34589505195618,5.3154411315918,5.37634897232056,,,,,,
138,275.5,275,276,5.34957098960877,5.34574794769287,5.35339403152466,,,,,,
139,277.5,277,278,5.24341058731079,5.20900917053223,5.27781200408936,,,,,,
140,279.5,279,280,5.29677557945252,5.28723049163818,5.30632066726685,,,,,,
141,281.5,281,282,5.25401973724365,5.24965286254883,5.25838661193848,,,,,,
142,283.5,283,284,5.22957253456116,5.19823360443115,5.26091146469116,,,,,,
143,285.5,285,286,5.27666354179382,5.25755310058594,5.29577398300171,,,,,,
144,287.5,287,288,5.24207782745361,5.23338460922241,5.25077104568481,,,,,,
145,289.5,289,290,5.25154519081116,5.23605871200562,5.2670316696167,,,,,,
146,291.5,291,292,5.27009320259094,5.22195339202881,5.31823301315308,,,,,,
147,293.5,293,294,5.19794201850891,5.14750814437866,5.24837589263916,,,,,,
148,295.5,295,296,5.20982027053833,5.1668176651001,5.25282287597656,,,,,,
149,297.5,297,298,5.25001955032349,5.23688793182373,5.26315116882324,,,,,,
150,299.5,299,300,5.26515126228333,5.24280548095703,5.28749704360962,,,,,,
151,301.5,301,302,5.22473096847534,5.14916133880615,5.30030059814453,,,,,,
152,303.5,303,304,5.22177505493164,5.1624436378479,5.28110647201538,,,,,,
153,305.5,305,306,5.1715669631958,5.14474058151245,5.19839334487915,,,,,,
154,307.5,307,308,5.18252754211426,5.17589378356934,5.18916130065918,,,,,,
155,309.5,309,310,5.19479894638062,5.15532493591309,5.23427295684814,,,,,,
156,311.5,311,312,5.18822956085205,5.1732702255249,5.2031888961792,,,,,,
157,313.5,313,314,5.22276306152344,5.18479681015015,5.26072931289673,,,,,,
158,315.5,315,316,5.10184073448181,5.09784317016602,5.10583829879761,,,,,,
159,317.5,317,318,5.13426637649536,5.10832023620606,5.16021251678467,,,,,,
160,319.5,319,320,5.17218708992004,5.15058946609497,5.19378471374512,,,,,,
161,321.5,321,322,5.14434266090393,5.10945987701416,5.1792254447937,,,,,,
162,323.5,323,324,5.14425754547119,5.11656188964844,5.17195320129395,,,,,,
163,325.5,325,326,5.15889167785645,5.15348148345947,5.16430187225342,,,,,,
164,327.5,327,328,5.0858645439148,5.07514047622681,5.09658861160278,,,,,,
165,329.5,329,330,5.14383792877197,5.10764837265015,5.1800274848938,,,,,,
166,331.5,331,332,5.08655667304993,4.99199724197388,5.18111610412598,,,,,,
167,333.5,333,334,5.12601232528687,5.07247161865234,5.17955303192139,,,,,,
168,335.5,335,336,5.09808397293091,5.0374002456665,5.15876770019531,,,,,,
169,337.5,337,338,5.06502962112427,5.02313709259033,5.1069221496582,,,,,,
170,339.5,339,340,5.05945467948914,5.02304315567017,5.09586620330811,,,,,,
171,341.5,341,342,5.06441259384155,5.04699230194092,5.08183288574219,,,,,,
172,343.5,343,344,5.11121010780335,5.08523225784302,5.13718795776367,,,,,,
173,345.5,345,346,5.10582542419434,5.08288860321045,5.12876224517822,,,,,,
174,347.5,347,348,5.01565170288086,4.90884208679199,5.12246131896973,,,,,,
175,349.5,349,350,5.08906769752502,5.08353519439697,5.09460020065308,,,,,,
176,351.5,351,352,5.05462718009949,5.03243541717529,5.07681894302368,,,,,,
177,353.5,353,354,5.07581543922424,5.05134391784668,5.10028696060181,,,,,,
178,355.5,355,356,5.02186679840088,4.99277687072754,5.05095672607422,,,,,,
179,357.5,357,358,5.03930711746216,5.03104209899902,5.04757213592529,,,,,,
180,359.5,359,360,5.00142335891724,4.96067523956299,5.04217147827148,,,,,,
181,361.5,361,362,5.01992011070252,4.93671464920044,5.10312557220459,,,,,,
182,363.5,363,364,5.03544449806213,5.01715660095215,5.05373239517212,,,,,,
183,365.5,365,366,5.01844882965088,4.98764705657959,5.04925060272217,,,,,,
184,367.5,367,368,5.04195952415466,4.97733783721924,5.10658121109009,,,,,,
185,369.5,369,370,4.99969124794006,4.9613618850708,5.03802061080933,,,,,,
186,371.5,371,372,5.02429223060608,4.95818614959717,5.09039831161499,,,,,,
187,373.5,373,374,4.94407391548157,4.8928279876709,4.99531984329224,,,,,,
188,375.5,375,376,4.96013307571411,4.92671632766724,4.99354982376099,,,,,,
189,377.5,377,378,4.8836510181427,4.85701751708984,4.91028451919556,,,,,,
190,379.5,379,380,4.89076352119446,4.82887315750122,4.9526538848877,,,,,,
191,381.5,381,382,4.91472959518433,4.85840511322022,4.97105407714844,,,,,,
192,383.5,383,384,4.86673712730408,4.74985122680664,4.98362302780151,,,,,,
193,385.5,385,386,4.88902807235718,4.79010152816773,4.98795461654663,,,,,,
194,387.5,387,388,4.90287184715271,4.85235118865967,4.95339250564575,,,,,,
195,389.5,389,390,4.92060923576355,4.89941835403442,4.94180011749268,,,,,,
196,391.5,391,392,4.94606137275696,4.91322755813599,4.97889518737793,,,,,,
197,393.5,393,394,4.99798154830933,4.98108196258545,5.0148811340332,,,,,,
198,395.5,395,396,4.9593653678894,4.95443534851074,4.96429538726807,,,,,,
199,397.5,397,398,4.94433259963989,4.93211650848389,4.9565486907959,,,,,,
200,399.5,399,400,4.87461376190186,4.86083650588989,4.88839101791382,,,,,,
201,401.5,401,402,4.95679211616516,4.93129014968872,4.9822940826416,,,,,,
202,403.5,403,404,4.91208934783936,4.90538120269775,4.91879749298096,,,,,,
203,405.5,405,406,4.96577787399292,4.94577789306641,4.98577785491943,,,,,,
204,407.5,407,408,4.88920974731445,4.83395051956177,4.94446897506714,,,,,,
205,409.5,409,410,4.88390183448792,4.81235027313232,4.95545339584351,,,,,,
206,411.5,411,412,4.92082333564758,4.90819931030273,4.93344736099243,,,,,,
207,413.5,413,414,4.83986234664917,4.81089496612549,4.86882972717285,,,,,,
208,415.5,415,416,4.9055757522583,4.85709714889526,4.95405435562134,,,,,,
209,417.5,417,418,4.90694308280945,4.87315130233765,4.94073486328125,,,,,,
210,419.5,419,420,4.88668608665466,4.85898542404175,4.91438674926758,,,,,,
211,421.5,421,422,4.85527205467224,4.79662036895752,4.91392374038696,,,,,,
212,423.5,423,424,4.83487439155579,4.82669687271118,4.84305191040039,,,,,,
213,425.5,425,426,4.86019563674927,4.82856607437134,4.8918251991272,,,,,,
214,427.5,427,428,4.81941390037537,4.81680250167847,4.82202529907227,,,,,,
215,429.5,429,430,4.79187107086182,4.72323799133301,4.86050415039063,,,,,,
216,431.5,431,432,4.83162331581116,4.78073358535767,4.88251304626465,,,,,,
217,433.5,433,434,4.78732848167419,4.78417921066284,4.79047775268555,,,,,,
218,435.5,435,436,4.77258396148682,4.69620895385742,4.84895896911621,,,,,,
219,437.5,437,438,4.8111584186554,4.77642583847046,4.84589099884033,,,,,,
220,439.5,439,440,4.80265116691589,4.74440002441406,4.86090230941773,,,,,,
221,441.5,441,442,4.77505254745483,4.74068307876587,4.8094220161438,,,,,,
222,443.5,443,444,4.7953634262085,4.70924854278564,4.88147830963135,,,,,,
223,445.5,445,446,4.88326811790466,4.88112354278564,4.88541269302368,,,,,,
224,447.5,447,448,4.80079317092896,4.78607177734375,4.81551456451416,,,,,,
225,449.5,449,450,4.77010655403137,4.76254844665527,4.77766466140747,,,,,,
226,451.5,451,452,4.81028008460999,4.79477548599243,4.82578468322754,,,,,,
227,453.5,453,454,4.75859498977661,4.67398262023926,4.84320735931397,,,,,,
228,455.5,455,456,4.75176477432251,4.73798370361328,4.76554584503174,,,,,,
229,457.5,457,458,4.79474711418152,4.72492218017578,4.86457204818726,,,,,,
230,459.5,459,460,4.80512475967407,4.80304050445557,4.80720901489258,,,,,,
231,461.5,461,462,4.78568267822266,4.75411367416382,4.81725168228149,,,,,,
232,463.5,463,464,4.76190304756165,4.71462965011597,4.80917644500732,,,,,,
233,465.5,465,466,4.717205286026,4.6632022857666,4.7712082862854,,,,,,
234,467.5,467,468,4.75285029411316,4.71614360809326,4.78955698013306,,,,,,
235,469.5,469,470,4.70693707466126,4.7003059387207,4.71356821060181,,,,,,
236,471.5,471,472,4.71219444274902,4.70540332794189,4.71898555755615,,,,,,
237,473.5,473,474,4.65411424636841,4.61009693145752,4.6981315612793,,,,,,
238,475.5,475,476,4.7327778339386,4.6740894317627,4.7914662361145,,,,,,
239,477.5,477,478,4.7106409072876,4.68334245681763,4.73793935775757,,,,,,
240,479.5,479,480,4.73203229904175,4.6803412437439,4.7837233543396,,,,,,
241,481.5,481,482,4.69729971885681,4.69565105438232,4.6989483833313,,,,,,
242,483.5,483,484,4.7576265335083,4.73102903366089,4.78422403335571,,,,,,
243,485.5,485,486,4.72670698165894,4.67747592926025,4.77593803405762,,,,,,
244,487.5,487,488,4.75226402282715,4.73484134674072,4.76968669891357,,,,,,
245,489.5,489,490,4.75464010238648,4.7343864440918,4.77489376068115,,,,,,
246,491.5,491,492,4.6799840927124,4.62803077697754,4.73193740844727,,,,,,
247,493.5,493,494,4.69355797767639,4.6639404296875,4.72317552566528,,,,,,
248,495.5,495,496,4.66549348831177,4.65754222869873,4.67344474792481,,,,,,
249,497.5,497,498,4.68254160881043,4.66319227218628,4.70189094543457,,,,,,
250,499.5,499,500,4.64046859741211,4.60023403167725,4.68070316314697,,,,,,
251,501.5,501,502,4.72454071044922,4.70313835144043,4.74594306945801,,,,,,
252,503.5,503,504,4.62051486968994,4.61994647979736,4.62108325958252,,,,,,
253,505.5,505,506,4.61720609664917,4.57983493804932,4.65457725524902,,,,,,
254,507.5,507,508,4.68913626670837,4.6587405204773,4.71953201293945,,,,,,
255,509.5,509,510,4.69030547142029,4.65751791000366,4.72309303283691,,,,,,
256,511.5,511,512,4.63563346862793,4.58539247512817,4.68587446212769,,,,,,
257,513.5,513,514,4.66291522979736,4.60292291641235,4.72290754318237,,,,,,
258,515.5,515,516,4.65956163406372,4.60693454742432,4.71218872070313,,,,,,
259,517.5,517,518,4.64201807975769,4.60378503799439,4.680251121521,,,,,,
260,519.5,519,520,4.60626649856567,4.56820058822632,4.64433240890503,,,,,,
261,521.5,521,522,4.62453961372376,4.62281513214111,4.6262640953064,,,,,,
262,523.5,523,524,4.60450839996338,4.5128927230835,4.69612407684326,,,,,,
263,525.5,525,526,4.60729384422302,4.52892875671387,4.68565893173218,,,,,,
264,527.5,527,528,4.59012508392334,4.55143642425537,4.62881374359131,,,,,,
265,529.5,529,530,4.57542085647583,4.55379819869995,4.59704351425171,,,,,,
266,531.5,531,532,4.63068509101868,4.57127189636231,4.69009828567505,,,,,,
267,533.5,533,534,4.64217567443848,4.63504695892334,4.64930438995361,,,,,,
268,535.5,535,536,4.60537791252136,4.55635976791382,4.65439605712891,,,,,,
269,537.5,537,538,4.6250958442688,4.61164045333862,4.63855123519898,,,,,,
270,539.5,539,540,4.55708050727844,4.48938417434692,4.62477684020996,,,,,,
271,541.5,541,542,4.56485080718994,4.53339862823486,4.59630298614502,,,,,,
272,543.5,543,544,4.65758228302002,4.63976764678955,4.67539691925049,,,,,,
273,545.5,545,546,4.5728611946106,4.54496192932129,4.6007604598999,,,,,,
274,547.5,547,548,4.57133555412293,4.55066394805908,4.59200716018677,,,,,,
275,549.5,549,550,4.54725170135498,4.50109910964966,4.5934042930603,,,,,,
276,551.5,551,552,4.58358001708984,4.52487277984619,4.6422872543335,,,,,,
277,553.5,553,554,4.53572225570679,4.50128316879273,4.57016134262085,,,,,,
278,555.5,555,556,4.53673148155212,4.5217604637146,4.55170249938965,,,,,,
279,557.5,557,558,4.47277021408081,4.45230960845947,4.49323081970215,,,,,,
280,559.5,559,560,4.5075364112854,4.4805588722229,4.5345139503479,,,,,,
281,561.5,561,562,4.51713943481445,4.46792411804199,4.56635475158691,,,,,,
282,563.5,563,564,4.5747230052948,4.53721284866333,4.61223316192627,,,,,,
283,565.5,565,566,4.50444722175598,4.47691297531128,4.53198146820068,,,,,,
284,567.5,567,568,4.55742764472961,4.5160026550293,4.59885263442993,,,,,,
285,569.5,569,570,4.50357866287231,4.49668025970459,4.51047706604004,,,,,,
286,571.5,571,572,4.56943964958191,4.54370212554932,4.5951771736145,,,,,,
287,573.5,573,574,4.536217212677,4.50087070465088,4.57156372070313,,,,,,
288,575.5,575,576,4.46177053451538,4.41462230682373,4.50891876220703,,,,,,
289,577.5,577,578,4.54501628875732,4.53095531463623,4.55907726287842,,,,,,
290,579.5,579,580,4.54913926124573,4.5316686630249,4.56660985946655,,,,,,
291,581.5,581,582,4.53640580177307,4.49907970428467,4.57373189926148,,,,,,
292,583.5,583,584,4.51951932907105,4.48680686950684,4.55223178863525,,,,,,
293,585.5,585,586,4.53383350372314,4.52835416793823,4.53931283950806,,,,,,
294,587.5,587,588,4.46411824226379,4.38255882263184,4.54567766189575,,,,,,
295,589.5,589,590,4.51656031608582,4.50377607345581,4.52934455871582,,,,,,
296,591.5,591,592,4.50568079948425,4.48018980026245,4.53117179870606,,,,,,
297,593.5,593,594,4.47371292114258,4.47004652023315,4.477379322052,,,,,,
298,595.5,595,596,4.49153971672058,4.4634165763855,4.51966285705566,,,,,,
299,597.5,597,598,4.52941966056824,4.49548292160034,4.56335639953613,,,,,,
300,599.5,599,600,4.50741147994995,4.47264099121094,4.54218196868897,,,,,,
301,601.5,601,602,4.49638915061951,4.44806861877441,4.5447096824646,,,,,,
302,603.5,603,604,4.49308156967163,4.45452690124512,4.53163623809814,,,,,,
303,605.5,605,606,4.47973585128784,4.45525455474854,4.50421714782715,,,,,,
304,607.5,607,608,4.51146793365479,4.48870182037354,4.53423404693604,,,,,,
305,609.5,609,610,4.53616452217102,4.50749969482422,4.56482934951782,,,,,,
306,611.5,611,612,4.4635603427887,4.45093965530396,4.47618103027344,,,,,,
307,613.5,613,614,4.47864747047424,4.4378457069397,4.51944923400879,,,,,,
308,615.5,615,616,4.50402426719666,4.47877359390259,4.52927494049072,,,,,,
309,617.5,617,618,4.50286960601807,4.43820667266846,4.56753253936768,,,,,,
310,619.5,619,620,4.48287916183472,4.42005300521851,4.54570531845093,,,,,,
311,621.5,621,622,4.48643732070923,4.46363162994385,4.50924301147461,,,,,,
312,623.5,623,624,4.4588828086853,4.44908714294434,4.46867847442627,,,,,,
313,625.5,625,626,4.43188834190369,4.40536642074585,4.45841026306152,,,,,,
314,627.5,627,628,4.43138360977173,4.41801834106445,4.444748878479,,,,,,
315,629.5,629,630,4.36713290214539,4.36556959152222,4.36869621276856,,,,,,
316,631.5,631,632,4.469486951828,4.45365619659424,4.48531770706177,,,,,,
317,633.5,633,634,4.4527051448822,4.40974521636963,4.49566507339478,,,,,,
318,635.5,635,636,4.45089435577393,4.41458034515381,4.48720836639404,,,,,,
319,637.5,637,638,4.43004012107849,4.36257076263428,4.49750947952271,,,,,,
320,639.5,639,640,4.45033264160156,4.40180969238281,4.49885559082031,,,,,,
321,641.5,641,642,4.40158152580261,4.38042068481445,4.42274236679077,,,,,,
322,643.5,643,644,4.45012140274048,4.43925428390503,4.46098852157593,,,,,,
323,645.5,645,646,4.4447033405304,4.41189384460449,4.4775128364563,,,,,,
324,647.5,647,648,4.3801167011261,4.33721208572388,4.42302131652832,,,,,,
325,649.5,649,650,4.37673711776733,4.36980962753296,4.38366460800171,,,,,,
326,651.5,651,652,4.4194803237915,4.34862041473389,4.49034023284912,,,,,,
327,653.5,653,654,4.42702412605286,4.3917179107666,4.46233034133911,,,,,,
328,655.5,655,656,4.3909547328949,4.3503794670105,4.4315299987793,,,,,,
329,657.5,657,658,4.3946053981781,4.36381673812866,4.42539405822754,,,,,,
330,659.5,659,660,4.34696245193481,4.32466554641724,4.36925935745239,,,,,,
331,661.5,661,662,4.39374232292175,4.37191915512085,4.41556549072266,,,,,,
332,663.5,663,664,4.42451524734497,4.41539096832275,4.43363952636719,,,,,,
333,665.5,665,666,4.4003279209137,4.38748455047607,4.41317129135132,,,,,,
334,667.5,667,668,4.4521222114563,4.42223453521729,4.48200988769531,,,,,,
335,669.5,669,670,4.39462208747864,4.38562297821045,4.40362119674683,,,,,,
336,671.5,671,672,4.3886821269989,4.36877202987671,4.40859222412109,,,,,,
337,673.5,673,674,4.34131622314453,4.30449962615967,4.37813282012939,,,,,,
338,675.5,675,676,4.41573262214661,4.36399841308594,4.46746683120728,,,,,,
339,677.5,677,678,4.36258983612061,4.3241457939148,4.40103387832642,,,,,,
340,679.5,679,680,4.40494298934937,4.38173294067383,4.4281530380249,,,,,,
341,681.5,681,682,4.33002328872681,4.31009244918823,4.34995412826538,,,,,,
342,683.5,683,684,4.35561966896057,4.32048797607422,4.39075136184692,,,,,,
343,685.5,685,686,4.41538548469544,4.411780834198,4.41899013519287,,,,,,
344,687.5,687,688,4.35460186004639,4.31361770629883,4.39558601379395,,,,,,
