optimizer_step,_step,_step__MIN,_step__MAX,global_grad_norm,global_grad_norm__MIN,global_grad_norm__MAX,,,,,,
166,331,331,331,0.619949102401733,0.619949102401733,0.619949102401733,,,,,,
167,333,333,333,0.623725593090057,0.623725593090057,0.623725593090057,,,,,,
168,335,335,335,0.786725401878357,0.786725401878357,0.786725401878357,,,,,,
169,337,337,337,0.493727266788483,0.493727266788483,0.493727266788483,,,,,,
170,339,339,339,0.561521470546722,0.561521470546722,0.561521470546722,,,,,,
171,341,341,341,0.614641964435577,0.614641964435577,0.614641964435577,,,,,,
172,343,343,343,0.783860564231873,0.783860564231873,0.783860564231873,,,,,,
173,345,345,345,0.70320326089859,0.70320326089859,0.70320326089859,,,,,,
174,347,347,347,0.611935138702393,0.611935138702393,0.611935138702393,,,,,,
175,349,349,349,0.708460509777069,0.708460509777069,0.708460509777069,,,,,,
176,351,351,351,0.718549191951752,0.718549191951752,0.718549191951752,,,,,,
177,353,353,353,0.6512690782547,0.6512690782547,0.6512690782547,,,,,,
178,355,355,355,1.08353173732758,1.08353173732758,1.08353173732758,,,,,,
179,357,357,357,0.589084982872009,0.589084982872009,0.589084982872009,,,,,,
180,359,359,359,0.931713283061981,0.931713283061981,0.931713283061981,,,,,,
181,361,361,361,0.606960117816925,0.606960117816925,0.606960117816925,,,,,,
182,363,363,363,0.871397852897644,0.871397852897644,0.871397852897644,,,,,,
183,365,365,365,0.623452484607697,0.623452484607697,0.623452484607697,,,,,,
184,367,367,367,0.807873368263245,0.807873368263245,0.807873368263245,,,,,,
185,369,369,369,0.579845130443573,0.579845130443573,0.579845130443573,,,,,,
186,371,371,371,0.662812113761902,0.662812113761902,0.662812113761902,,,,,,
187,373,373,373,0.723102152347565,0.723102152347565,0.723102152347565,,,,,,
188,375,375,375,0.611646234989166,0.611646234989166,0.611646234989166,,,,,,
189,377,377,377,0.834847092628479,0.834847092628479,0.834847092628479,,,,,,
190,379,379,379,0.524034202098846,0.524034202098846,0.524034202098846,,,,,,
191,381,381,381,0.662350654602051,0.662350654602051,0.662350654602051,,,,,,
192,383,383,383,0.469486832618713,0.469486832618713,0.469486832618713,,,,,,
193,385,385,385,0.593570470809937,0.593570470809937,0.593570470809937,,,,,,
194,387,387,387,0.544561743736267,0.544561743736267,0.544561743736267,,,,,,
195,389,389,389,0.527196943759918,0.527196943759918,0.527196943759918,,,,,,
196,391,391,391,0.521929264068604,0.521929264068604,0.521929264068604,,,,,,
197,393,393,393,0.549283385276794,0.549283385276794,0.549283385276794,,,,,,
198,395,395,395,0.732497096061707,0.732497096061707,0.732497096061707,,,,,,
199,397,397,397,0.951594412326813,0.951594412326813,0.951594412326813,,,,,,
200,399,399,399,0.678140103816986,0.678140103816986,0.678140103816986,,,,,,
201,401,401,401,0.939621925354004,0.939621925354004,0.939621925354004,,,,,,
202,403,403,403,0.800520598888397,0.800520598888397,0.800520598888397,,,,,,
203,405,405,405,0.691641807556152,0.691641807556152,0.691641807556152,,,,,,
204,407,407,407,0.801214993000031,0.801214993000031,0.801214993000031,,,,,,
205,409,409,409,0.907587468624115,0.907587468624115,0.907587468624115,,,,,,
206,411,411,411,0.974049985408783,0.974049985408783,0.974049985408783,,,,,,
207,413,413,413,0.590117633342743,0.590117633342743,0.590117633342743,,,,,,
