"optimizer_step","recur1b-mig-212 - _step","recur1b-mig-212 - _step__MIN","recur1b-mig-212 - _step__MAX","recur1b-mig-212 - word_embed_l2_param_norm","recur1b-mig-212 - word_embed_l2_param_norm__MIN","recur1b-mig-212 - word_embed_l2_param_norm__MAX"
"242","483","483","483","126.7351303100586","126.7351303100586","126.7351303100586"
"243","485","485","485","126.78128051757812","126.78128051757812","126.78128051757812"
"244","487","487","487","126.82775115966797","126.82775115966797","126.82775115966797"
"245","489","489","489","126.87361907958984","126.87361907958984","126.87361907958984"
"246","491","491","491","126.91957092285156","126.91957092285156","126.91957092285156"
"247","493","493","493","126.9656982421875","126.9656982421875","126.9656982421875"
"248","495","495","495","127.01111602783203","127.01111602783203","127.01111602783203"
"249","497","497","497","127.05606842041016","127.05606842041016","127.05606842041016"
"250","499","499","499","127.10155487060547","127.10155487060547","127.10155487060547"
"251","501","501","501","127.14688110351562","127.14688110351562","127.14688110351562"
"252","503","503","503","127.19252014160156","127.19252014160156","127.19252014160156"
"253","505","505","505","127.23802947998047","127.23802947998047","127.23802947998047"
"254","507","507","507","127.2833023071289","127.2833023071289","127.2833023071289"
"255","509","509","509","127.32804870605469","127.32804870605469","127.32804870605469"
"256","511","511","511","127.37277221679688","127.37277221679688","127.37277221679688"
"257","513","513","513","127.41763305664062","127.41763305664062","127.41763305664062"
"258","515","515","515","127.4620361328125","127.4620361328125","127.4620361328125"
"259","517","517","517","127.5074462890625","127.5074462890625","127.5074462890625"
"260","519","519","519","127.55113983154297","127.55113983154297","127.55113983154297"
"261","521","521","521","127.5952377319336","127.5952377319336","127.5952377319336"
"262","523","523","523","127.63982391357422","127.63982391357422","127.63982391357422"
"263","525","525","525","127.6834945678711","127.6834945678711","127.6834945678711"
"264","527","527","527","127.7276611328125","127.7276611328125","127.7276611328125"
"265","529","529","529","127.7717056274414","127.7717056274414","127.7717056274414"
"266","531","531","531","127.81543731689453","127.81543731689453","127.81543731689453"
"267","533","533","533","127.85892486572266","127.85892486572266","127.85892486572266"
"268","535","535","535","127.90193939208984","127.90193939208984","127.90193939208984"
"269","537","537","537","127.94579315185547","127.94579315185547","127.94579315185547"
"270","539","539","539","127.98941802978516","127.98941802978516","127.98941802978516"
"271","541","541","541","128.03314208984375","128.03314208984375","128.03314208984375"
"272","543","543","543","128.07606506347656","128.07606506347656","128.07606506347656"
"273","545","545","545","128.11959838867188","128.11959838867188","128.11959838867188"
"274","547","547","547","128.16278076171875","128.16278076171875","128.16278076171875"
"275","549","549","549","128.2060546875","128.2060546875","128.2060546875"
"276","551","551","551","128.24937438964844","128.24937438964844","128.24937438964844"
"277","553","553","553","128.2919464111328","128.2919464111328","128.2919464111328"
"278","555","555","555","128.3357391357422","128.3357391357422","128.3357391357422"
"279","557","557","557","128.37835693359375","128.37835693359375","128.37835693359375"
"280","559","559","559","128.4209442138672","128.4209442138672","128.4209442138672"
"281","561","561","561","128.4640655517578","128.4640655517578","128.4640655517578"
"282","563","563","563","128.50555419921875","128.50555419921875","128.50555419921875"
"283","565","565","565","128.54754638671875","128.54754638671875","128.54754638671875"
"284","567","567","567","128.5900115966797","128.5900115966797","128.5900115966797"
