"total_tokens","recur1b-mig-212 - _step","recur1b-mig-212 - _step__MIN","recur1b-mig-212 - _step__MAX","recur1b-mig-212 - val_loss_1","recur1b-mig-212 - val_loss_1__MIN","recur1b-mig-212 - val_loss_1__MAX","recur1b-mig-212 - val_loss_2","recur1b-mig-212 - val_loss_2__MIN","recur1b-mig-212 - val_loss_2__MAX","recur1b-mig-212 - val_loss_4","recur1b-mig-212 - val_loss_4__MIN","recur1b-mig-212 - val_loss_4__MAX","recur1b-mig-212 - val_loss_8","recur1b-mig-212 - val_loss_8__MIN","recur1b-mig-212 - val_loss_8__MAX","recur1b-mig-212 - val_loss_16","recur1b-mig-212 - val_loss_16__MIN","recur1b-mig-212 - val_loss_16__MAX"
"1711276032","1631","1631","1631","5.31295108795166","5.31295108795166","5.31295108795166","4.204351902008057","4.204351902008057","4.204351902008057","3.7176496982574463","3.7176496982574463","3.7176496982574463","3.6323819160461426","3.6323819160461426","3.6323819160461426","3.629591703414917","3.629591703414917","3.629591703414917"
"1744830464","1663","1663","1663","5.306291580200195","5.306291580200195","5.306291580200195","4.186554908752441","4.186554908752441","4.186554908752441","3.7053234577178955","3.7053234577178955","3.7053234577178955","3.621034622192383","3.621034622192383","3.621034622192383","3.6181747913360596","3.6181747913360596","3.6181747913360596"
"1778384896","1695","1695","1695","5.291887283325195","5.291887283325195","5.291887283325195","4.169505596160889","4.169505596160889","4.169505596160889","3.686584949493408","3.686584949493408","3.686584949493408","3.603391647338867","3.603391647338867","3.603391647338867","3.6008527278900146","3.6008527278900146","3.6008527278900146"
"1811939328","1727","1727","1727","5.280679702758789","5.280679702758789","5.280679702758789","4.1512885093688965","4.1512885093688965","4.1512885093688965","3.671022653579712","3.671022653579712","3.671022653579712","3.588303565979004","3.588303565979004","3.588303565979004","3.585469961166382","3.585469961166382","3.585469961166382"
"1845493760","1759","1759","1759","5.2679548263549805","5.2679548263549805","5.2679548263549805","4.139150142669678","4.139150142669678","4.139150142669678","3.6627063751220703","3.6627063751220703","3.6627063751220703","3.581325054168701","3.581325054168701","3.581325054168701","3.578911781311035","3.578911781311035","3.578911781311035"
"1879048192","1791","1791","1791","5.25374698638916","5.25374698638916","5.25374698638916","4.117908954620361","4.117908954620361","4.117908954620361","3.645406723022461","3.645406723022461","3.645406723022461","3.564932346343994","3.564932346343994","3.564932346343994","3.5623533725738525","3.5623533725738525","3.5623533725738525"
"1912602624","1823","1823","1823","5.248323917388916","5.248323917388916","5.248323917388916","4.105155944824219","4.105155944824219","4.105155944824219","3.6329505443573","3.6329505443573","3.6329505443573","3.5528013706207275","3.5528013706207275","3.5528013706207275","3.550145149230957","3.550145149230957","3.550145149230957"
"1946157056","1855","1855","1855","5.238961219787598","5.238961219787598","5.238961219787598","4.087153434753418","4.087153434753418","4.087153434753418","3.6170523166656494","3.6170523166656494","3.6170523166656494","3.537607431411743","3.537607431411743","3.537607431411743","3.535055637359619","3.535055637359619","3.535055637359619"
"1979711488","1887","1887","1887","5.216210842132568","5.216210842132568","5.216210842132568","4.067102909088135","4.067102909088135","4.067102909088135","3.6040821075439453","3.6040821075439453","3.6040821075439453","3.5253164768218994","3.5253164768218994","3.5253164768218994","3.52268123626709","3.52268123626709","3.52268123626709"
"2013265920","1919","1919","1919","5.2043538093566895","5.2043538093566895","5.2043538093566895","4.049981594085693","4.049981594085693","4.049981594085693","3.591177225112915","3.591177225112915","3.591177225112915","3.513765573501587","3.513765573501587","3.513765573501587","3.511207342147827","3.511207342147827","3.511207342147827"
"2046820352","1951","1951","1951","5.20296049118042","5.20296049118042","5.20296049118042","4.038278579711914","4.038278579711914","4.038278579711914","3.5808963775634766","3.5808963775634766","3.5808963775634766","3.503988742828369","3.503988742828369","3.503988742828369","3.501722812652588","3.501722812652588","3.501722812652588"
"2080374784","1983","1983","1983","5.189480304718018","5.189480304718018","5.189480304718018","4.023727893829346","4.023727893829346","4.023727893829346","3.566854476928711","3.566854476928711","3.566854476928711","3.4896199703216553","3.4896199703216553","3.4896199703216553","3.4872219562530518","3.4872219562530518","3.4872219562530518"
"2113929216","2015","2015","2015","5.183255195617676","5.183255195617676","5.183255195617676","4.0106096267700195","4.0106096267700195","4.0106096267700195","3.5554418563842773","3.5554418563842773","3.5554418563842773","3.4801642894744873","3.4801642894744873","3.4801642894744873","3.477764129638672","3.477764129638672","3.477764129638672"
"2147483648","2047","2047","2047","5.170424938201904","5.170424938201904","5.170424938201904","3.99886417388916","3.99886417388916","3.99886417388916","3.5452752113342285","3.5452752113342285","3.5452752113342285","3.4706130027770996","3.4706130027770996","3.4706130027770996","3.4684431552886963","3.4684431552886963","3.4684431552886963"
"2181038080","2079","2079","2079","5.159891128540039","5.159891128540039","5.159891128540039","3.9839468002319336","3.9839468002319336","3.9839468002319336","3.534472703933716","3.534472703933716","3.534472703933716","3.4607458114624023","3.4607458114624023","3.4607458114624023","3.458427667617798","3.458427667617798","3.458427667617798"
"2214592512","2111","2111","2111","5.150058269500732","5.150058269500732","5.150058269500732","3.9727187156677246","3.9727187156677246","3.9727187156677246","3.526444911956787","3.526444911956787","3.526444911956787","3.453001022338867","3.453001022338867","3.453001022338867","3.4507265090942383","3.4507265090942383","3.4507265090942383"
"2248146944","2143","2143","2143","5.1384477615356445","5.1384477615356445","5.1384477615356445","3.9589970111846924","3.9589970111846924","3.9589970111846924","3.515979290008545","3.515979290008545","3.515979290008545","3.443232536315918","3.443232536315918","3.443232536315918","3.4409146308898926","3.4409146308898926","3.4409146308898926"
"2281701376","2175","2175","2175","5.132266998291016","5.132266998291016","5.132266998291016","3.94880747795105","3.94880747795105","3.94880747795105","3.504202127456665","3.504202127456665","3.504202127456665","3.432854413986206","3.432854413986206","3.432854413986206","3.430525064468384","3.430525064468384","3.430525064468384"
"2315255808","2207","2207","2207","5.135626792907715","5.135626792907715","5.135626792907715","3.936147689819336","3.936147689819336","3.936147689819336","3.4961793422698975","3.4961793422698975","3.4961793422698975","3.424081802368164","3.424081802368164","3.424081802368164","3.42172908782959","3.42172908782959","3.42172908782959"
"2348810240","2239","2239","2239","5.121988296508789","5.121988296508789","5.121988296508789","3.9274041652679443","3.9274041652679443","3.9274041652679443","3.490262746810913","3.490262746810913","3.490262746810913","3.4185194969177246","3.4185194969177246","3.4185194969177246","3.4162535667419434","3.4162535667419434","3.4162535667419434"
"2382364672","2271","2271","2271","5.125126838684082","5.125126838684082","5.125126838684082","3.9178171157836914","3.9178171157836914","3.9178171157836914","3.481870412826538","3.481870412826538","3.481870412826538","3.409322738647461","3.409322738647461","3.409322738647461","3.407177448272705","3.407177448272705","3.407177448272705"
"2415919104","2303","2303","2303","5.097215175628662","5.097215175628662","5.097215175628662","3.9018259048461914","3.9018259048461914","3.9018259048461914","3.4696097373962402","3.4696097373962402","3.4696097373962402","3.3993210792541504","3.3993210792541504","3.3993210792541504","3.39713978767395","3.39713978767395","3.39713978767395"
"2449473536","2335","2335","2335","5.094442367553711","5.094442367553711","5.094442367553711","3.8962321281433105","3.8962321281433105","3.8962321281433105","3.4632174968719482","3.4632174968719482","3.4632174968719482","3.392782211303711","3.392782211303711","3.392782211303711","3.3905677795410156","3.3905677795410156","3.3905677795410156"
"2483027968","2367","2367","2367","5.075169563293457","5.075169563293457","5.075169563293457","3.882415294647217","3.882415294647217","3.882415294647217","3.4541523456573486","3.4541523456573486","3.4541523456573486","3.383862018585205","3.383862018585205","3.383862018585205","3.381645441055298","3.381645441055298","3.381645441055298"
"2516582400","2399","2399","2399","5.065741539001465","5.065741539001465","5.065741539001465","3.8739163875579834","3.8739163875579834","3.8739163875579834","3.443547487258911","3.443547487258911","3.443547487258911","3.3753819465637207","3.3753819465637207","3.3753819465637207","3.3729565143585205","3.3729565143585205","3.3729565143585205"
"2550136832","2431","2431","2431","5.064321517944336","5.064321517944336","5.064321517944336","3.860509157180786","3.860509157180786","3.860509157180786","3.4378914833068848","3.4378914833068848","3.4378914833068848","3.3691329956054688","3.3691329956054688","3.3691329956054688","3.3669683933258057","3.3669683933258057","3.3669683933258057"
"2583691264","2463","2463","2463","5.060524940490723","5.060524940490723","5.060524940490723","3.8544585704803467","3.8544585704803467","3.8544585704803467","3.43289852142334","3.43289852142334","3.43289852142334","3.36407732963562","3.36407732963562","3.36407732963562","3.361915349960327","3.361915349960327","3.361915349960327"
"2617245696","2495","2495","2495","5.052132606506348","5.052132606506348","5.052132606506348","3.841747760772705","3.841747760772705","3.841747760772705","3.4243454933166504","3.4243454933166504","3.4243454933166504","3.3569955825805664","3.3569955825805664","3.3569955825805664","3.354980707168579","3.354980707168579","3.354980707168579"
"2650800128","2527","2527","2527","5.036259651184082","5.036259651184082","5.036259651184082","3.8312432765960693","3.8312432765960693","3.8312432765960693","3.413349151611328","3.413349151611328","3.413349151611328","3.3460423946380615","3.3460423946380615","3.3460423946380615","3.3439793586730957","3.3439793586730957","3.3439793586730957"
"2684354560","2559","2559","2559","5.030652046203613","5.030652046203613","5.030652046203613","3.819376230239868","3.819376230239868","3.819376230239868","3.4029390811920166","3.4029390811920166","3.4029390811920166","3.3357691764831543","3.3357691764831543","3.3357691764831543","3.333914279937744","3.333914279937744","3.333914279937744"
"2717908992","2591","2591","2591","5.0023603439331055","5.0023603439331055","5.0023603439331055","3.8151540756225586","3.8151540756225586","3.8151540756225586","3.401369571685791","3.401369571685791","3.401369571685791","3.3347597122192383","3.3347597122192383","3.3347597122192383","3.3327512741088867","3.3327512741088867","3.3327512741088867"
"2751463424","2623","2623","2623","4.993227481842041","4.993227481842041","4.993227481842041","3.807147979736328","3.807147979736328","3.807147979736328","3.3910000324249268","3.3910000324249268","3.3910000324249268","3.324183464050293","3.324183464050293","3.324183464050293","3.3222570419311523","3.3222570419311523","3.3222570419311523"
"2785017856","2655","2655","2655","5.004063606262207","5.004063606262207","5.004063606262207","3.7934131622314453","3.7934131622314453","3.7934131622314453","3.3805129528045654","3.3805129528045654","3.3805129528045654","3.3156347274780273","3.3156347274780273","3.3156347274780273","3.3137118816375732","3.3137118816375732","3.3137118816375732"
"2818572288","2687","2687","2687","4.989751815795898","4.989751815795898","4.989751815795898","3.7890660762786865","3.7890660762786865","3.7890660762786865","3.375913619995117","3.375913619995117","3.375913619995117","3.310509204864502","3.310509204864502","3.310509204864502","3.3084819316864014","3.3084819316864014","3.3084819316864014"
"2852126720","2719","2719","2719","4.956399440765381","4.956399440765381","4.956399440765381","3.7795662879943848","3.7795662879943848","3.7795662879943848","3.370027780532837","3.370027780532837","3.370027780532837","3.305457353591919","3.305457353591919","3.305457353591919","3.3036274909973145","3.3036274909973145","3.3036274909973145"
"2885681152","2751","2751","2751","4.953130722045898","4.953130722045898","4.953130722045898","3.7746529579162598","3.7746529579162598","3.7746529579162598","3.3680484294891357","3.3680484294891357","3.3680484294891357","3.3036744594573975","3.3036744594573975","3.3036744594573975","3.301738739013672","3.301738739013672","3.301738739013672"
"2919235584","2783","2783","2783","4.94829797744751","4.94829797744751","4.94829797744751","3.7650973796844482","3.7650973796844482","3.7650973796844482","3.3578128814697266","3.3578128814697266","3.3578128814697266","3.293950080871582","3.293950080871582","3.293950080871582","3.292141914367676","3.292141914367676","3.292141914367676"
"2952790016","2815","2815","2815","4.938948631286621","4.938948631286621","4.938948631286621","3.762749671936035","3.762749671936035","3.762749671936035","3.354691505432129","3.354691505432129","3.354691505432129","3.290998935699463","3.290998935699463","3.290998935699463","3.2891716957092285","3.2891716957092285","3.2891716957092285"
"2986344448","2847","2847","2847","4.931390762329102","4.931390762329102","4.931390762329102","3.7465250492095947","3.7465250492095947","3.7465250492095947","3.343336582183838","3.343336582183838","3.343336582183838","3.280125856399536","3.280125856399536","3.280125856399536","3.278412103652954","3.278412103652954","3.278412103652954"
"3019898880","2879","2879","2879","4.9131975173950195","4.9131975173950195","4.9131975173950195","3.73858904838562","3.73858904838562","3.73858904838562","3.3370723724365234","3.3370723724365234","3.3370723724365234","3.2731075286865234","3.2731075286865234","3.2731075286865234","3.271145820617676","3.271145820617676","3.271145820617676"
