"optimizer_step","recur1b-mig-234 - _step","recur1b-mig-234 - _step__MIN","recur1b-mig-234 - _step__MAX","recur1b-mig-234 - word_embed_l2_param_norm","recur1b-mig-234 - word_embed_l2_param_norm__MIN","recur1b-mig-234 - word_embed_l2_param_norm__MAX"
"1775","689","689","689","152.87283325195312","152.87283325195312","152.87283325195312"
"1776","691","691","691","152.8760528564453","152.8760528564453","152.8760528564453"
"1777","693","693","693","152.87954711914062","152.87954711914062","152.87954711914062"
"1778","695","695","695","152.8834228515625","152.8834228515625","152.8834228515625"
"1779","697","697","697","152.8871307373047","152.8871307373047","152.8871307373047"
"1780","699","699","699","152.89027404785156","152.89027404785156","152.89027404785156"
"1781","701","701","701","152.89358520507812","152.89358520507812","152.89358520507812"
"1782","703","703","703","152.89688110351562","152.89688110351562","152.89688110351562"
"1783","705","705","705","152.9005889892578","152.9005889892578","152.9005889892578"
"1784","707","707","707","152.90330505371094","152.90330505371094","152.90330505371094"
"1785","709","709","709","152.90708923339844","152.90708923339844","152.90708923339844"
"1786","711","711","711","152.90968322753906","152.90968322753906","152.90968322753906"
"1787","713","713","713","152.9141387939453","152.9141387939453","152.9141387939453"
"1788","715","715","715","152.91763305664062","152.91763305664062","152.91763305664062"
"1789","717","717","717","152.92031860351562","152.92031860351562","152.92031860351562"
"1790","719","719","719","152.92446899414062","152.92446899414062","152.92446899414062"
"1791","721","721","721","152.92735290527344","152.92735290527344","152.92735290527344"
"1792","723","723","723","152.93031311035156","152.93031311035156","152.93031311035156"
"1793","725","725","725","152.93441772460938","152.93441772460938","152.93441772460938"
"1794","727","727","727","152.93707275390625","152.93707275390625","152.93707275390625"
"1795","729","729","729","152.94036865234375","152.94036865234375","152.94036865234375"
"1796","731","731","731","152.9439239501953","152.9439239501953","152.9439239501953"
"1797","733","733","733","152.94651794433594","152.94651794433594","152.94651794433594"
"1798","735","735","735","152.9497528076172","152.9497528076172","152.9497528076172"
"1799","737","737","737","152.95339965820312","152.95339965820312","152.95339965820312"
"1800","739","739","739","152.95553588867188","152.95553588867188","152.95553588867188"
"1801","741","741","741","152.95904541015625","152.95904541015625","152.95904541015625"
"1802","743","743","743","152.9622802734375","152.9622802734375","152.9622802734375"
"1803","745","745","745","152.96478271484375","152.96478271484375","152.96478271484375"
"1804","747","747","747","152.96884155273438","152.96884155273438","152.96884155273438"
"1805","749","749","749","152.97137451171875","152.97137451171875","152.97137451171875"
"1806","751","751","751","152.97482299804688","152.97482299804688","152.97482299804688"
"1807","753","753","753","152.9777374267578","152.9777374267578","152.9777374267578"
"1808","755","755","755","152.98065185546875","152.98065185546875","152.98065185546875"
"1809","757","757","757","152.98370361328125","152.98370361328125","152.98370361328125"
"1810","759","759","759","152.98675537109375","152.98675537109375","152.98675537109375"
"1811","761","761","761","152.9899139404297","152.9899139404297","152.9899139404297"
"1812","763","763","763","152.99319458007812","152.99319458007812","152.99319458007812"
"1813","765","765","765","152.9961700439453","152.9961700439453","152.9961700439453"
"1814","767","767","767","152.9991455078125","152.9991455078125","152.9991455078125"
"1815","769","769","769","153.00209045410156","153.00209045410156","153.00209045410156"
"1816","771","771","771","153.00502014160156","153.00502014160156","153.00502014160156"
