"optimizer_step","recur1b-mig-234 - _step","recur1b-mig-234 - _step__MIN","recur1b-mig-234 - _step__MAX","recur1b-mig-234 - global_loss","recur1b-mig-234 - global_loss__MIN","recur1b-mig-234 - global_loss__MAX"
"1645","429.5","429","430","2.52580726146698","2.501389265060425","2.550225257873535"
"1646","431.5","431","432","2.5176355838775635","2.504472255706787","2.53079891204834"
"1647","433.5","433","434","2.3928542137145996","2.3675026893615723","2.418205738067627"
"1648","435.5","435","436","2.413041830062866","2.404660701751709","2.4214229583740234"
"1649","437.5","437","438","2.5859673023223877","2.516235828399658","2.655698776245117"
"1650","439.5","439","440","2.4036448001861572","2.3744726181030273","2.432816982269287"
"1651","441.5","441","442","2.350897789001465","2.2992942333221436","2.402501344680786"
"1652","443.5","443","444","2.3719751834869385","2.3285880088806152","2.4153623580932617"
"1653","445.5","445","446","2.408807158470154","2.3973538875579834","2.420260429382324"
"1654","447.5","447","448","2.4332756996154785","2.417562484741211","2.448988914489746"
"1655","449.5","449","450","2.4772433042526245","2.437896728515625","2.516589879989624"
"1656","451.5","451","452","2.3753150701522827","2.3204498291015625","2.430180311203003"
"1657","453.5","453","454","2.5566914081573486","2.5018091201782227","2.6115736961364746"
"1658","455.5","455","456","2.369231104850769","2.3188345432281494","2.4196276664733887"
"1659","457.5","457","458","2.3822473287582397","2.3748507499694824","2.389643907546997"
"1660","459.5","459","460","2.3942248821258545","2.353559970855713","2.434889793395996"
"1661","461.5","461","462","2.3374451398849487","2.29164981842041","2.3832404613494873"
"1662","463.5","463","464","2.4856280088424683","2.4699738025665283","2.501282215118408"
"1663","465.5","465","466","2.4547975063323975","2.4267468452453613","2.4828481674194336"
"1664","467.5","467","468","2.4827719926834106","2.4115841388702393","2.553959846496582"
"1665","469.5","469","470","2.4720382690429688","2.393599510192871","2.5504770278930664"
"1666","471.5","471","472","2.4828882217407227","2.4662322998046875","2.499544143676758"
"1667","473.5","473","474","2.507167339324951","2.4362661838531494","2.578068494796753"
"1668","475.5","475","476","2.5460954904556274","2.4674530029296875","2.6247379779815674"
"1669","477.5","477","478","2.5440173149108887","2.4823079109191895","2.605726718902588"
"1670","479.5","479","480","2.406546473503113","2.4003119468688965","2.412781000137329"
"1671","481.5","481","482","2.6430033445358276","2.6090688705444336","2.6769378185272217"
"1672","483.5","483","484","2.4342762231826782","2.389814615249634","2.4787378311157227"
"1673","485.5","485","486","2.319502353668213","2.3066704273223877","2.332334280014038"
"1674","487.5","487","488","2.5049184560775757","2.477571725845337","2.5322651863098145"
"1675","489.5","489","490","2.4799304008483887","2.422299385070801","2.5375614166259766"
"1676","491.5","491","492","2.586048722267151","2.5072367191314697","2.664860725402832"
"1677","493.5","493","494","2.482424020767212","2.478637218475342","2.486210823059082"
"1678","495.5","495","496","2.4535895586013794","2.4194459915161133","2.4877331256866455"
"1679","497.5","497","498","2.6721783876419067","2.609541177749634","2.7348155975341797"
"1680","499.5","499","500","2.4041815996170044","2.40289306640625","2.405470132827759"
"1681","501.5","501","502","2.352931261062622","2.3212461471557617","2.3846163749694824"
"1682","503.5","503","504","2.4116448163986206","2.3424978256225586","2.4807918071746826"
"1683","505.5","505","506","2.4215248823165894","2.393540143966675","2.449509620666504"
"1684","507.5","507","508","2.3314770460128784","2.299427032470703","2.3635270595550537"
"1685","509.5","509","510","2.4223334789276123","2.3550753593444824","2.489591598510742"
"1686","511.5","511","512","2.442260503768921","2.3256187438964844","2.5589022636413574"
"1687","513.5","513","514","2.458259344100952","2.4047088623046875","2.511809825897217"
"1688","515.5","515","516","2.4675803184509277","2.449704885482788","2.4854557514190674"
"1689","517.5","517","518","2.4445515871047974","2.3777852058410645","2.5113179683685303"
"1690","519.5","519","520","2.437404155731201","2.402301073074341","2.4725072383880615"
"1691","521.5","521","522","2.5115268230438232","2.4586105346679688","2.5644431114196777"
"1692","523.5","523","524","2.3761391639709473","2.3508291244506836","2.401449203491211"
"1693","525.5","525","526","2.5674811601638794","2.5107882022857666","2.624174118041992"
"1694","527.5","527","528","2.505902886390686","2.4169514179229736","2.5948543548583984"
"1695","529.5","529","530","2.468163013458252","2.404297113418579","2.532028913497925"
"1696","531.5","531","532","2.4587482213974","2.386622667312622","2.5308737754821777"
"1697","533.5","533","534","2.479119062423706","2.4643139839172363","2.493924140930176"
"1698","535.5","535","536","2.4149670600891113","2.3909759521484375","2.438958168029785"
"1699","537.5","537","538","2.433717966079712","2.392660140991211","2.474775791168213"
"1700","539.5","539","540","2.595426917076111","2.5603866577148438","2.630467176437378"
"1701","541.5","541","542","2.399113655090332","2.3617353439331055","2.4364919662475586"
"1702","543.5","543","544","2.3693907260894775","2.334266185760498","2.404515266418457"
"1703","545.5","545","546","2.5162525177001953","2.4787158966064453","2.5537891387939453"
"1704","547.5","547","548","2.484427809715271","2.4454522132873535","2.5234034061431885"
"1705","549.5","549","550","2.4764591455459595","2.476024627685547","2.476893663406372"
"1706","551.5","551","552","2.5335164070129395","2.450967311859131","2.616065502166748"
"1707","553.5","553","554","2.4153469800949097","2.3819799423217773","2.448714017868042"
"1708","555.5","555","556","2.31473171710968","2.2761940956115723","2.353269338607788"
"1709","557.5","557","558","2.3403027057647705","2.337599992752075","2.343005418777466"
"1710","559.5","559","560","2.435033917427063","2.42889404296875","2.441173791885376"
"1711","561.5","561","562","2.370316982269287","2.3493940830230713","2.391239881515503"
"1712","563.5","563","564","2.3690285682678223","2.298673152923584","2.4393839836120605"
"1713","565.5","565","566","2.374289393424988","2.2676360607147217","2.480942726135254"
"1714","567.5","567","568","2.4882158041000366","2.4090332984924316","2.5673983097076416"
"1715","569.5","569","570","2.48230242729187","2.4367237091064453","2.527881145477295"
"1716","571.5","571","572","2.4693496227264404","2.4293911457061768","2.509308099746704"
"1717","573.5","573","574","2.4178720712661743","2.344367742538452","2.4913763999938965"
"1718","575.5","575","576","2.4041517972946167","2.3531346321105957","2.4551689624786377"
"1719","577.5","577","578","2.411512613296509","2.365762233734131","2.4572629928588867"
"1720","579.5","579","580","2.3441357612609863","2.3304240703582764","2.3578474521636963"
"1721","581.5","581","582","2.439865827560425","2.34196138381958","2.5377702713012695"
"1722","583.5","583","584","2.3573919534683228","2.2896692752838135","2.425114631652832"
"1723","585.5","585","586","2.382041811943054","2.3483872413635254","2.415696382522583"
"1724","587.5","587","588","2.3912514448165894","2.3485405445098877","2.433962345123291"
"1725","589.5","589","590","2.3737599849700928","2.344313144683838","2.4032068252563477"
"1726","591.5","591","592","2.3204565048217773","2.2679073810577393","2.3730056285858154"
"1727","593.5","593","594","2.266322135925293","2.2400903701782227","2.2925539016723633"
"1728","595.5","595","596","2.459776520729065","2.32389497756958","2.59565806388855"
"1729","597.5","597","598","2.419512987136841","2.368105888366699","2.4709200859069824"
"1730","599.5","599","600","2.4308983087539673","2.370335340499878","2.4914612770080566"
"1731","601.5","601","602","2.5248626470565796","2.4928088188171387","2.5569164752960205"
"1732","603.5","603","604","2.4773738384246826","2.427999973297119","2.526747703552246"
"1733","605.5","605","606","2.4737578630447388","2.4645166397094727","2.482999086380005"
"1734","607.5","607","608","2.422428607940674","2.3430755138397217","2.501781702041626"
"1735","609.5","609","610","2.4172474145889282","2.4018404483795166","2.43265438079834"
"1736","611.5","611","612","2.4138729572296143","2.369051694869995","2.4586942195892334"
"1737","613.5","613","614","2.492693305015564","2.4329819679260254","2.5524046421051025"
"1738","615.5","615","616","2.511730909347534","2.4965906143188477","2.5268712043762207"
"1739","617.5","617","618","2.445070266723633","2.4183969497680664","2.471743583679199"
"1740","619.5","619","620","2.450009346008301","2.4012277126312256","2.498790979385376"
"1741","621.5","621","622","2.3935210704803467","2.3577404022216797","2.4293017387390137"
"1742","623.5","623","624","2.38236403465271","2.326608419418335","2.438119649887085"
"1743","625.5","625","626","2.4643771648406982","2.416079521179199","2.5126748085021973"
"1744","627.5","627","628","2.429879069328308","2.396299123764038","2.463459014892578"
"1745","629.5","629","630","2.4962459802627563","2.3812105655670166","2.611281394958496"
"1746","631.5","631","632","2.5801931619644165","2.531972646713257","2.628413677215576"
"1747","633.5","633","634","2.4113235473632812","2.367549419403076","2.4550976753234863"
"1748","635.5","635","636","2.2391258478164673","2.1820576190948486","2.296194076538086"
"1749","637.5","637","638","2.3499869108200073","2.3192861080169678","2.380687713623047"
"1750","639.5","639","640","2.34770131111145","2.2864058017730713","2.408996820449829"
"1751","641.5","641","642","2.456489682197571","2.4178173542022705","2.495162010192871"
"1752","643.5","643","644","2.2157254219055176","2.2009189128875732","2.230531930923462"
"1753","645.5","645","646","2.3700478076934814","2.2658629417419434","2.4742326736450195"
"1754","647.5","647","648","2.452306866645813","2.3758938312530518","2.528719902038574"
"1755","649.5","649","650","2.397429943084717","2.340310573577881","2.4545493125915527"
"1756","651.5","651","652","2.1918691396713257","2.1855366230010986","2.1982016563415527"
"1757","653.5","653","654","2.5319663286209106","2.495695114135742","2.568237543106079"
"1758","655.5","655","656","2.3988146781921387","2.3418893814086914","2.455739974975586"
"1759","657.5","657","658","2.34679913520813","2.311155080795288","2.3824431896209717"
"1760","659.5","659","660","2.323225498199463","2.246922016143799","2.399528980255127"
"1761","661.5","661","662","2.269291877746582","2.259490966796875","2.279092788696289"
"1762","663.5","663","664","2.381863594055176","2.366734504699707","2.3969926834106445"
"1763","665.5","665","666","2.460282325744629","2.4527599811553955","2.4678046703338623"
"1764","667.5","667","668","2.4841960668563843","2.4674324989318848","2.500959634780884"
"1765","669.5","669","670","2.392772912979126","2.3281545639038086","2.4573912620544434"
"1766","671.5","671","672","2.5288368463516235","2.5176784992218018","2.5399951934814453"
"1767","673.5","673","674","2.335201144218445","2.282540798187256","2.387861490249634"
"1768","675.5","675","676","2.265302062034607","2.26278018951416","2.2678239345550537"
"1769","677.5","677","678","2.402447462081909","2.3795719146728516","2.425323009490967"
"1770","679.5","679","680","2.417144298553467","2.3749380111694336","2.4593505859375"
"1771","681.5","681","682","2.5376136302948","2.5332541465759277","2.541973114013672"
"1772","683.5","683","684","2.2472498416900635","2.238420248031616","2.2560794353485107"
"1773","685.5","685","686","2.262209415435791","2.2375614643096924","2.2868573665618896"
"1774","687.5","687","688","2.5184099674224854","2.4521045684814453","2.5847153663635254"
