"total_tokens","_step","_step__MIN","_step__MAX","val_loss_1","val_loss_1__MIN","val_loss_1__MAX","val_loss_2","val_loss_2__MIN","val_loss_2__MAX","val_loss_4","val_loss_4__MIN","val_loss_4__MAX","val_loss_8","val_loss_8__MIN","val_loss_8__MAX","val_loss_16","val_loss_16__MIN","val_loss_16__MAX"
"444596224","1695","1695","1695","3.658270835876465","3.658270835876465","3.658270835876465","3.3949155807495117","3.3949155807495117","3.3949155807495117","3.3285322189331055","3.3285322189331055","3.3285322189331055","3.3222265243530273","3.3222265243530273","3.3222265243530273","3.3219425678253174","3.3219425678253174","3.3219425678253174"
"452984832","1727","1727","1727","3.653696298599243","3.653696298599243","3.653696298599243","3.387439489364624","3.387439489364624","3.387439489364624","3.323007345199585","3.323007345199585","3.323007345199585","3.3160455226898193","3.3160455226898193","3.3160455226898193","3.3158481121063232","3.3158481121063232","3.3158481121063232"
"461373440","1759","1759","1759","3.638209819793701","3.638209819793701","3.638209819793701","3.381021738052368","3.381021738052368","3.381021738052368","3.316648483276367","3.316648483276367","3.316648483276367","3.310201406478882","3.310201406478882","3.310201406478882","3.3101561069488525","3.3101561069488525","3.3101561069488525"
"469762048","1791","1791","1791","3.639240026473999","3.639240026473999","3.639240026473999","3.380479097366333","3.380479097366333","3.380479097366333","3.3134350776672363","3.3134350776672363","3.3134350776672363","3.30694580078125","3.30694580078125","3.30694580078125","3.3069567680358887","3.3069567680358887","3.3069567680358887"
"478150656","1823","1823","1823","3.6311798095703125","3.6311798095703125","3.6311798095703125","3.3758277893066406","3.3758277893066406","3.3758277893066406","3.310842752456665","3.310842752456665","3.310842752456665","3.303617477416992","3.303617477416992","3.303617477416992","3.303463935852051","3.303463935852051","3.303463935852051"
"486539264","1855","1855","1855","3.621690034866333","3.621690034866333","3.621690034866333","3.372195243835449","3.372195243835449","3.372195243835449","3.307645559310913","3.307645559310913","3.307645559310913","3.301839590072632","3.301839590072632","3.301839590072632","3.3017418384552","3.3017418384552","3.3017418384552"
"494927872","1887","1887","1887","3.607590913772583","3.607590913772583","3.607590913772583","3.3605871200561523","3.3605871200561523","3.3605871200561523","3.2924909591674805","3.2924909591674805","3.2924909591674805","3.2860240936279297","3.2860240936279297","3.2860240936279297","3.285846710205078","3.285846710205078","3.285846710205078"
"503316480","1919","1919","1919","3.6047401428222656","3.6047401428222656","3.6047401428222656","3.352389097213745","3.352389097213745","3.352389097213745","3.289276599884033","3.289276599884033","3.289276599884033","3.28299880027771","3.28299880027771","3.28299880027771","3.2826945781707764","3.2826945781707764","3.2826945781707764"
"511705088","1951","1951","1951","3.6000969409942627","3.6000969409942627","3.6000969409942627","3.348810911178589","3.348810911178589","3.348810911178589","3.284295082092285","3.284295082092285","3.284295082092285","3.277454137802124","3.277454137802124","3.277454137802124","3.2772316932678223","3.2772316932678223","3.2772316932678223"
"520093696","1983","1983","1983","3.591878890991211","3.591878890991211","3.591878890991211","3.3367466926574707","3.3367466926574707","3.3367466926574707","3.274782657623291","3.274782657623291","3.274782657623291","3.268455743789673","3.268455743789673","3.268455743789673","3.2682247161865234","3.2682247161865234","3.2682247161865234"
